# CKAL ROKET TAKIMI (Data loaded from a file)
# 2437 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,970,0,0,0,0,0,0,0,0,0,0,38.4,34,94.996,0,0,0,85.027,0,1.414e4,3905,2.422,0.025,9.797,NaN,84.9,NaN,0,0,-1.584e-4,0.397,0.274,0.003,0.12,-6.293e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.319,180.023,8.695,902.1,0.001,336.568,0.019,6.112e5,12,110,0.01,0.002,0
0.01,0,970,0,0,0,0,0,0,0,0,0,0,38.4,34,94.996,0,0,0,85.027,0,1.414e4,3905,2.422,0.025,9.797,NaN,84.9,NaN,8.666,0.063,-1.599e-4,0.397,0.274,0.003,0.12,-6.288e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.351,180.023,8.695,902.1,0.001,336.568,0.019,6.143e5,12,110,0.006,0.003,0
0.016,0,970,0,0,0,0,0,0,0,0,0,0,38.4,34,94.996,0,0,0,85.027,0,1.414e4,3905,2.422,0.025,9.797,NaN,84.9,NaN,13.865,0.1,-1.608e-4,0.397,0.274,0.003,0.12,-6.285e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.371,180.023,8.695,902.1,0.001,336.568,0.019,6.161e5,12,110,0.009,0.004,0
0.025,1.305e-4,970,0.057,0.058,18.499,18.679,0,3.764e-5,3.764e-5,359.989,0.012,2.59,38.4,34,94.481,0,0,0,85.027,0,1.413e4,3902,2.421,0.025,9.797,NaN,84.9,NaN,401.552,2.9,-1.178e-4,0.396,0.274,0.003,0.12,-4.578e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4,180.023,8.695,902.1,0.001,336.568,0.019,6.178e5,12,110,0.01,0.005,5.376e-6
0.035,0.002,970.002,0.394,0.397,48.877,49.158,0,3.339e-4,3.339e-4,359.989,0.051,5.248,38.4,34,91.444,0,0,0,85.027,0,1.413e4,3899,2.421,0.025,9.797,NaN,84.9,NaN,832.316,6.013,-4.268e-6,0.396,0.274,0.003,0.12,-1.657e-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.432,180.023,8.695,902.1,0.001,336.568,0.019,6.182e5,12,110,0.009,0.005,4.033e-5
0.044,0.008,970.008,0.957,0.963,76.229,76.611,-5.118e-9,0.001,0.001,359.989,0.109,7.643,38.4,34,86.459,0,0,0,85.027,0,1.413e4,3896,2.42,0.025,9.797,NaN,84.9,NaN,1220.004,8.815,6.012e-5,0.396,0.273,0.003,0.12,2.312e-4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.461,180.023,8.695,902.1,0.001,336.568,0.019,6.212e5,12,110,0.01,0.006,9.942e-5
# Event LIFTOFF occurred at t=0.054 seconds
0.054,0.021,970.021,1.724,1.734,77.264,77.559,-1.965e-8,0.003,0.003,359.989,0.186,6.76,38.4,34,79.698,0,0,0,85.027,0,1.412e4,3889,2.419,0.025,9.797,NaN,84.9,NaN,1232.878,8.913,0.001,0.395,0.272,0.003,0.12,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.494,180.023,8.695,902.1,0.001,336.568,0.019,6.324e5,12,110,0.01,0.006,1.801e-4
0.064,0.043,970.043,2.501,2.514,78.214,78.513,-4.184e-8,0.005,0.005,359.989,0.254,6.843,38.4,34,73.281,0,0,0,85.027,0,1.411e4,3882,2.418,0.025,9.797,NaN,84.8,NaN,1245.752,9.01,0.006,0.393,0.271,0.003,0.12,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.529,180.023,8.695,902.1,0.001,336.568,0.02,6.533e5,12,110,0.01,0.007,2.628e-4
0.074,0.071,970.071,3.288,3.304,79.165,79.468,-6.403e-8,0.008,0.008,359.989,0.323,6.926,38.4,34,67.208,0,0,0,85.027,0,1.411e4,3875,2.416,0.025,9.797,NaN,84.8,NaN,1258.626,9.107,0.015,0.391,0.268,0.003,0.12,0.047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.564,180.023,8.695,902.1,0.001,336.568,0.021,6.822e5,12,110,0.01,0.007,3.465e-4
