# CKAL ROKET TAKIMI (Data loaded from a file)
# 2437 data points written for 3 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0
0.01,0,0
0.016,0,0
0.025,1.305e-4,0.057
0.035,0.002,0.394
0.044,0.008,0.957
# Event LIFTOFF occurred at t=0.054 seconds
0.054,0.021,1.724
0.064,0.043,2.501
0.074,0.071,3.288
0.084,0.108,4.084
0.094,0.153,4.89
0.104,0.206,5.706
0.114,0.267,6.531
0.124,0.337,7.365
0.134,0.415,8.209
0.144,0.501,9.063
0.154,0.596,9.926
0.164,0.7,10.799
0.174,0.812,11.681
0.184,0.933,12.573
0.194,1.063,13.47
0.204,1.203,14.369
0.214,1.351,15.27
0.224,1.508,16.171
0.234,1.674,17.075
0.244,1.85,17.98
0.254,2.034,18.886
0.264,2.227,19.794
0.274,2.43,20.704
0.284,2.641,21.614
0.294,2.862,22.527
0.304,3.092,23.441
0.314,3.331,24.356
0.324,3.579,25.273
0.334,3.836,26.192
0.344,4.103,27.112
0.354,4.379,28.033
0.364,4.664,28.956
0.374,4.958,29.88
0.384,5.261,30.806
0.394,5.574,31.734
0.404,5.896,32.663
# Event LAUNCHROD occurred at t=0.414 seconds
0.414,6.227,33.593
0.429,6.741,34.989
0.451,7.534,37.043
0.484,8.807,40.136
0.533,10.909,44.801
0.583,13.268,49.546
0.633,15.864,54.326
0.683,18.701,59.142
0.733,21.779,63.992
0.747,22.652,65.308
0.767,23.994,67.284
0.798,26.083,70.25
0.843,29.386,74.706
0.893,33.243,79.6
0.943,37.346,84.494
0.986,41.023,88.652
1.016,43.79,91.654
1.044,46.361,94.359
1.069,48.742,96.796
1.093,51.098,99.147
1.117,53.496,101.483
1.141,56.008,103.874
1.167,58.746,106.42
1.197,61.963,109.334
1.237,66.343,113.184
1.287,72.125,118.074
1.337,78.151,122.959
1.34,78.574,123.295
1.345,79.211,123.798
1.353,80.172,124.552
1.365,81.625,125.68
1.382,83.827,127.367
1.405,86.813,129.607
1.426,89.499,131.579
1.445,92.042,133.411
1.464,94.559,135.191
1.483,97.151,136.993
1.503,99.94,138.897
1.526,103.142,141.04
1.556,107.414,143.832
1.601,113.979,147.98
1.651,121.492,152.528
1.671,124.595,154.348
1.691,127.644,156.106
1.708,130.38,157.656
1.725,133.025,159.132
1.742,135.742,160.626
1.76,138.666,162.21
1.779,141.844,163.905
1.801,145.378,165.757
1.827,149.825,168.042
1.867,156.609,171.434
1.916,165.039,175.498
1.935,168.432,177.087
1.953,171.5,178.503
1.968,174.271,179.765
1.984,177.178,181.072
2.001,180.174,182.403
2.019,183.473,183.849
2.041,187.676,185.665
2.075,194.059,188.363
2.125,203.575,192.259
2.146,207.534,193.837
2.162,210.669,195.069
2.177,213.632,196.221
2.193,216.656,197.383
2.209,219.949,198.635
2.229,223.834,200.093
2.256,229.347,202.129
2.297,237.72,205.149
2.327,243.832,207.299
2.346,247.838,208.684
2.364,251.52,209.94
2.381,255.064,211.135
2.398,258.735,212.357
2.41,261.302,213.203
2.428,265.172,214.467
2.455,271.02,216.353
2.496,279.887,219.157
2.518,284.797,220.682
2.535,288.465,221.809
2.55,291.858,222.843
2.566,295.294,223.881
2.582,299.074,225.014
2.603,303.824,226.423
2.629,309.642,228.131
2.667,318.449,230.496
2.684,322.375,231.422
2.699,325.731,232.152
2.704,326.921,232.397
2.712,328.707,232.753
2.723,331.392,233.258
2.739,334.978,233.878
2.757,339.4,234.559
2.786,346.055,235.41
2.828,356.076,236.301
2.845,359.975,236.524
2.851,361.459,236.59
2.86,363.685,236.668
2.875,367.025,236.732
2.89,370.74,236.727
2.91,375.357,236.611
2.932,380.626,236.33
2.95,384.878,236.019
# Event BURNOUT occurred at t=2.967 seconds
2.967,388.887,235.688
2.992,394.89,235.163
3.012,399.523,234.758
3.03,403.656,234.397
3.047,407.771,234.038
3.068,412.476,233.628
3.098,419.518,233.013
3.143,430.047,232.094
3.164,434.848,231.674
3.184,439.59,231.26
3.208,445.105,230.78
3.244,453.355,230.063
3.294,464.833,229.068
3.321,470.959,228.538
3.344,476.409,228.067
3.371,482.539,227.538
3.412,491.706,226.746
3.462,503.019,225.768
3.489,509.189,225.234
3.516,515.163,224.718
3.547,522.116,224.119
3.593,532.51,223.225
3.643,543.648,222.269
3.665,548.549,221.849
3.685,552.945,221.472
3.706,557.597,221.074
3.733,563.605,220.559
3.774,572.591,219.79
3.81,580.522,219.109
3.83,584.836,218.738
3.848,588.844,218.394
3.868,593.077,218.031
3.892,598.348,217.58
3.928,606.235,216.907
3.978,617.057,215.985
3.997,621.056,215.644
4.013,624.623,215.341
4.03,628.246,215.033
4.049,632.31,214.687
4.074,637.706,214.228
4.112,645.78,213.541
4.147,653.257,212.903
4.17,658.189,212.482
4.19,662.31,212.13
4.208,666.317,211.788
4.23,670.808,211.406
4.26,677.109,210.87
4.304,686.53,210.071
4.335,692.906,209.531
4.354,697.036,209.182
4.373,700.979,208.848
4.396,705.716,208.447
4.43,712.804,207.847
4.48,723.174,206.969
4.516,730.688,206.331
4.544,736.476,205.84
4.573,742.402,205.338
4.616,751.108,204.601
4.666,761.317,203.739
4.706,769.493,203.049
4.735,775.394,202.552
4.761,780.632,202.11
4.794,787.245,201.552
4.843,797.13,200.718
4.881,804.821,200.067
4.907,809.985,199.63
4.933,815.194,199.189
4.966,821.649,198.643
5.014,831.298,197.83
5.058,839.983,197.099
5.084,844.963,196.68
5.111,850.291,196.232
5.149,857.844,195.596
5.199,867.603,194.772
5.249,877.321,193.951
5.277,882.704,193.496
5.306,888.228,193.029
5.343,895.346,192.428
5.393,904.947,191.619
5.443,914.508,190.814
5.468,919.401,190.403
5.495,924.426,189.98
5.529,930.93,189.432
5.579,940.382,188.635
5.629,949.793,187.84
5.657,955.115,187.389
5.684,960.119,186.966
5.718,966.399,186.435
5.768,975.701,185.65
5.818,984.964,184.869
5.859,992.528,184.231
5.886,997.591,183.804
5.912,1002.415,183.397
5.944,1008.097,182.918
5.99,1016.592,182.2
6.038,1025.229,181.467
6.064,1029.939,181.067
6.087,1034.274,180.699
6.111,1038.554,180.335
6.14,1043.791,179.891
6.184,1051.622,179.228
6.234,1060.564,178.471
6.262,1065.62,178.043
6.287,1069.983,177.674
6.311,1074.292,177.309
6.341,1079.61,176.858
6.386,1087.561,176.183
6.436,1096.351,175.435
6.468,1101.948,174.958
6.498,1107.142,174.516
6.534,1113.392,173.983
6.584,1122.072,173.245
6.634,1130.716,172.509
6.684,1139.323,171.776
6.734,1147.874,171.047
6.784,1156.408,170.319
6.834,1164.906,169.592
6.884,1173.368,168.867
6.929,1181.07,168.206
6.976,1188.863,167.537
7.026,1197.222,166.82
7.076,1205.545,166.106
7.121,1213.007,165.465
7.157,1219.04,164.947
7.2,1226.065,164.343
7.25,1234.265,163.636
7.3,1242.429,162.931
7.348,1250.235,162.254
7.376,1254.814,161.856
7.405,1259.408,161.457
7.438,1264.869,160.983
7.488,1272.901,160.286
7.538,1280.898,159.593
7.572,1286.273,159.126
7.598,1290.441,158.764
7.624,1294.5,158.411
7.652,1298.997,158.02
7.691,1305.033,157.494
7.741,1312.891,156.808
7.791,1320.714,156.122
7.823,1325.808,155.674
7.85,1329.921,155.311
7.874,1333.698,154.978
7.903,1338.155,154.585
7.946,1344.819,154
7.996,1352.502,153.325
8.032,1358.014,152.84
8.063,1362.731,152.424
8.094,1367.373,152.015
8.125,1372.156,151.593
8.168,1378.712,151.014
8.218,1386.246,150.347
8.268,1393.747,149.68
8.317,1400.99,149.034
